Thématique;Contenu;Contenu_texte
Quotient intellectuel;"<post n=""0"" when-iso=""2008-04-30T00:12"" who=""psn:cmr-wikiconflits-p285394"" xml:id=""cmr-wiki-c001-a59"">
<p>""Georges W. Bush aurait un QI de 91 [...].""</p>
<p>Je me permets d'enlever cette affirmation ; il s'agit en effet d'une intox qui remonte
            maintenant à 2001, comme on peut le constater en lisant <ref target=""http://www.snopes.com/inboxer/hoaxes/presiq.asp"">cette page</ref>.</p>
<p>En ce qui concerne Madonna, le lien donné comme source ne vaut pas un kopeck : ""91 pour
            George W. Bush, 140 pour Madonna, paraît-il.""... Je ne suis pas en mesure d'infirmer en
            ce qui concerne Madonna, donc je ne supprime pas, mais une référence serait la
            bienvenue.</p>
<signed>--<ref target=""https://fr.wikipedia.org/wiki/User:snipermaské"">SniperMaské</ref>
              (<ref target=""https://fr.wikipedia.org/wiki/User_talk:snipermaské"">d</ref>) 30 avril
            2008 à 00:12 (CEST)</signed></post>";"
""Georges W. Bush aurait un QI de 91 [...].""
Je me permets d'enlever cette affirmation ; il s'agit en effet d'une intox qui remonte
            maintenant à 2001, comme on peut le constater en lisant cette page.
En ce qui concerne Madonna, le lien donné comme source ne vaut pas un kopeck : ""91 pour
            George W. Bush, 140 pour Madonna, paraît-il.""... Je ne suis pas en mesure d'infirmer en
            ce qui concerne Madonna, donc je ne supprime pas, mais une référence serait la
            bienvenue.
--SniperMaské
              (d) 30 avril
            2008 à 00:12 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2008-06-04T22:19"" who=""psn:cmr-wikiconflits-p20502"" xml:id=""cmr-wiki-c001-a60"">
<p>Je serais favorable de virer le paragraphe sur l'étude de Catherine Morris Cox sur le
            QI de <ref target=""https://fr.wikipedia.org/wiki/Goethe"">Goethe</ref>. En effet, la
            probabilité d'avoir un QI au moins égal à 210 est de 1 pour 8 000 millards (si vous
            voulez faire le calcul sous excel : 1/(1-LOI.NORMALE(210;100;15;VRAI)) ). Sachant qu'on
            estime à environ 80 milliards d'humains ayant vécus depuis l'origine, c'est très
            improbable ! <ref target=""http://www.insee.fr/fr/insee_regions/alsace/publi/chroniques_radio/pdf/81_evolution_nombre_hommes.pdf"">http://www.insee.fr/fr/insee_regions/alsace/publi/chroniques_radio/pdf/81_evolution_nombre_hommes.pdf</ref></p>
<signed><ref target=""https://fr.wikipedia.org/wiki/User:pierrelm"">Pierrelm</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:pierrelm"">d</ref>) 4 juin 2008 à 22:19
            (CEST)</signed>
</post>";"
Je serais favorable de virer le paragraphe sur l'étude de Catherine Morris Cox sur le
            QI de Goethe. En effet, la
            probabilité d'avoir un QI au moins égal à 210 est de 1 pour 8 000 millards (si vous
            voulez faire le calcul sous excel : 1/(1-LOI.NORMALE(210;100;15;VRAI)) ). Sachant qu'on
            estime à environ 80 milliards d'humains ayant vécus depuis l'origine, c'est très
            improbable ! http://www.insee.fr/fr/insee_regions/alsace/publi/chroniques_radio/pdf/81_evolution_nombre_hommes.pdf
Pierrelm (d) 4 juin 2008 à 22:19
            (CEST)
"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a60"" when-iso=""2008-06-11T18:59"" who=""psn:cmr-wikiconflits-ip00487"" xml:id=""cmr-wiki-c001-a61"">
<p>Je suis très curieux de savoir où vous avez trouvé votre probabilité d'avoir un
            QI210 de 1 pour 8000 milliards, encore plus curieux de savoir quelles satistiques de
            ""psychologues"" (ou coachs personnels, ou que sais-je) ont servi de base à ce calcul. Se
            baser sur du charlatanisme pour en faire ensuite des statistiques et des probabilités,
            on sait bien où ça mène. <lb/>Mais dans l'absolu, il est vrai que cette anecdote sur
            Goethe n'a pas grand interet, tout comme la majorité de l'article, il faudrait s'en
            tenir à une analyse scientifique et factuelle des thèses d'Alfred Binet et consor. 11
            juin 2008 à 18:59? (CEST)</p>
</post>";"
Je suis très curieux de savoir où vous avez trouvé votre probabilité d'avoir un
            QI210 de 1 pour 8000 milliards, encore plus curieux de savoir quelles satistiques de
            ""psychologues"" (ou coachs personnels, ou que sais-je) ont servi de base à ce calcul. Se
            baser sur du charlatanisme pour en faire ensuite des statistiques et des probabilités,
            on sait bien où ça mène. Mais dans l'absolu, il est vrai que cette anecdote sur
            Goethe n'a pas grand interet, tout comme la majorité de l'article, il faudrait s'en
            tenir à une analyse scientifique et factuelle des thèses d'Alfred Binet et consor. 11
            juin 2008 à 18:59? (CEST)
"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a61"" when-iso=""2008-06-11T20:49"" who=""psn:cmr-wikiconflits-p20502"" xml:id=""cmr-wiki-c001-a62"">
<p>La formule qui permet d'arriver au chiffre de 8000 milliards est décrite sous <ref target=""https://fr.wikipedia.org/wiki/Excel"">excel</ref> ou <ref target=""https://fr.wikipedia.org/wiki/Openoffice.org_calc"">OpenOffice.org Calc</ref>:
            1/(1-LOI.NORMALE(210;100;15;VRAI). J'ai trouvé les paramètres 210 (QI de Goethe), 100
            (QI moyen, <ref target=""https://fr.wikipedia.org/wiki/Espérance_mathématique"">Espérance</ref> d'une loi normale), 15 (<ref target=""https://fr.wikipedia.org/wiki/Écart_type"">écart type</ref> arbitraire du QI
            standard) dans ce même article. Ne connaissant pas votre niveau en mathématiques, je
            vous renvoie vers l'article <ref target=""https://fr.wikipedia.org/wiki/Loi_normale"">Loi
              normale</ref>.</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/User:pierrelm"">Pierrelm</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:pierrelm"">d</ref>) 11 juin 2008 à
            20:49 (CEST)</signed></post>";"
La formule qui permet d'arriver au chiffre de 8000 milliards est décrite sous excel ou OpenOffice.org Calc:
            1/(1-LOI.NORMALE(210;100;15;VRAI). J'ai trouvé les paramètres 210 (QI de Goethe), 100
            (QI moyen, Espérance d'une loi normale), 15 (écart type arbitraire du QI
            standard) dans ce même article. Ne connaissant pas votre niveau en mathématiques, je
            vous renvoie vers l'article Loi
              normale.
Pierrelm (d) 11 juin 2008 à
            20:49 (CEST)"
Quotient intellectuel;"<post n=""3"" ref=""#cmr-wiki-c001-a62"" when-iso=""2008-06-11T23:12"" who=""psn:cmr-wikiconflits-ip00487"" xml:id=""cmr-wiki-c001-a63"">
<p>Vous avez calculé une probabilité alors que les données ne sont ni fiables ni
            scientifiques. Et si on vous dit que le beauté moyenne d'un individu est de 100 au test
            de QB (Quotient de Beauté), et que Goethe était très beau avec un QB de 210, est-ce que
            vous allez aussi produire une probabilité sans même vous soucier de la validité de
            l'unité de mesure des QB pour mesurer la beauté ?<lb/>Produire des statistiques (puis en
            déduire des probabilités) à partir de choses non scientifiques, pardon, mais ça n'a
            aucun interet. Le point de QI ce n'est pas une unité scientifiquement reconnue, ce ne
            sont pas des secondes, des mètres, des kilos, ou des hertz.<lb/>On peut dire que Goethe
            avait un QI de 210 000 000, aucune probabilité ne pourra contredire cette affirmation
            puisque l'unité de mesure à la base n'est pas fiable.</p>
<signed>11 juin 2008 à 23:12 (CEST)</signed></post>";"
Vous avez calculé une probabilité alors que les données ne sont ni fiables ni
            scientifiques. Et si on vous dit que le beauté moyenne d'un individu est de 100 au test
            de QB (Quotient de Beauté), et que Goethe était très beau avec un QB de 210, est-ce que
            vous allez aussi produire une probabilité sans même vous soucier de la validité de
            l'unité de mesure des QB pour mesurer la beauté ?Produire des statistiques (puis en
            déduire des probabilités) à partir de choses non scientifiques, pardon, mais ça n'a
            aucun interet. Le point de QI ce n'est pas une unité scientifiquement reconnue, ce ne
            sont pas des secondes, des mètres, des kilos, ou des hertz.On peut dire que Goethe
            avait un QI de 210 000 000, aucune probabilité ne pourra contredire cette affirmation
            puisque l'unité de mesure à la base n'est pas fiable.
11 juin 2008 à 23:12 (CEST)"
Quotient intellectuel;"<post n=""4"" ref=""#cmr-wiki-c001-a63"" when-iso=""2008-06-11T23:31"" who=""psn:cmr-wikiconflits-p8404"" xml:id=""cmr-wiki-c001-a64"">
<p>Un test de QI est construit pour avoir certaines propriétés et mesurer quelquechose
            (l'intelligence, le facteur g, peu importe ici). La conclusion logique si on considère
            que ce n'est pas fiable, c'est de ne pas utiliser le QI du tout, pas d'utiliser
            arbitrairement un chiffre improbable au regard de la définition du QI, non ?</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/User:gl"">GL</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:gl"">d</ref>) 11 juin 2008 à 23:31
            (CEST)</signed></post>";"
Un test de QI est construit pour avoir certaines propriétés et mesurer quelquechose
            (l'intelligence, le facteur g, peu importe ici). La conclusion logique si on considère
            que ce n'est pas fiable, c'est de ne pas utiliser le QI du tout, pas d'utiliser
            arbitrairement un chiffre improbable au regard de la définition du QI, non ?
GL (d) 11 juin 2008 à 23:31
            (CEST)"
Quotient intellectuel;"<post n=""5"" ref=""#cmr-wiki-c001-a64"" when-iso=""2008-06-11T23:44"" who=""psn:cmr-wikiconflits-ip00487"" xml:id=""cmr-wiki-c001-a65"">
<p>Je suis d'accord. Mais de toute façon, je ne met pas en cause le calcul de probabilité
            de Pierre, son calcul est sùrement correct, mais il aurait aussi bien pù le faire à
            partir de statistiques sur la température moyenne de barbatrucs en Nouvelle-Zélande, et
            le calcul aurait été aussi bon. Tout ce que je veux dire c'est que produire des calculs
            à partir de thèses et de données peu fiables, ça peut donner l'impression de les valider
            scientifiquement. 11 juin 2008 à 23:44 (CEST)</p></post>";"
Je suis d'accord. Mais de toute façon, je ne met pas en cause le calcul de probabilité
            de Pierre, son calcul est sùrement correct, mais il aurait aussi bien pù le faire à
            partir de statistiques sur la température moyenne de barbatrucs en Nouvelle-Zélande, et
            le calcul aurait été aussi bon. Tout ce que je veux dire c'est que produire des calculs
            à partir de thèses et de données peu fiables, ça peut donner l'impression de les valider
            scientifiquement. 11 juin 2008 à 23:44 (CEST)"
Quotient intellectuel;"<post n=""6"" ref=""#cmr-wiki-c001-a65"" when-iso=""2008-06-12T09:48"" who=""psn:cmr-wikiconflits-p20502"" xml:id=""cmr-wiki-c001-a66"">
<p>J'ai beaucoup de mal à vous suivre, le but de mon calcul de probabilité était justement
            de démontrer que la valeur de QI de 210 pour notre ami Goethe était, à mon goût, très
            farfelue ! Les valeurs de 100 pour la moyenne et de 15 pour l'écart type sont les
            valeurs de base du calcul de QI.</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/User:pierrelm"">Pierrelm</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:pierrelm"">d</ref>) 12 juin 2008 à
            09:48 (CEST)</signed></post>";"
J'ai beaucoup de mal à vous suivre, le but de mon calcul de probabilité était justement
            de démontrer que la valeur de QI de 210 pour notre ami Goethe était, à mon goût, très
            farfelue ! Les valeurs de 100 pour la moyenne et de 15 pour l'écart type sont les
            valeurs de base du calcul de QI.
Pierrelm (d) 12 juin 2008 à
            09:48 (CEST)"
Quotient intellectuel;"<post n=""7"" ref=""#cmr-wiki-c001-a66"" when-iso=""2008-06-12T13:36"" who=""psn:psn:cmr-wikiconflits-ip00515"" xml:id=""cmr-wiki-c001-a67"">
<p>Ce n'est pas le fait que Goethe aurait un QI de 210 qui est farfelu, c'est l'unité de
            valeur du QI (et par extension le calcul de QI moyen) qui sont non fiables.</p>
<signed>12 juin 2008 à 13:36 (CEST)</signed></post>";"
Ce n'est pas le fait que Goethe aurait un QI de 210 qui est farfelu, c'est l'unité de
            valeur du QI (et par extension le calcul de QI moyen) qui sont non fiables.
12 juin 2008 à 13:36 (CEST)"
Quotient intellectuel;"<post n=""8"" ref=""#cmr-wiki-c001-a67"" when-iso=""2008-10-07T18:45"" who=""psn:cmr-wikiconflits-ip01371"" xml:id=""cmr-wiki-c001-a68"">
<p>Le QI n'obeit pas nécessairement à une loi mathématique de façon indéfinie, c'est juste
            un paradigme qu'on applique sur des résultats et surtout à ce niveau non seulement le
            nombre de résultats disponible est trop faible pour donner une statistique mais en plus
            le test de QI deviendrait probablement invalide puisqu'il est fait pour mesurer (tant
            bien que mal) les intelligences normales. </p></post>";"
Le QI n'obeit pas nécessairement à une loi mathématique de façon indéfinie, c'est juste
            un paradigme qu'on applique sur des résultats et surtout à ce niveau non seulement le
            nombre de résultats disponible est trop faible pour donner une statistique mais en plus
            le test de QI deviendrait probablement invalide puisqu'il est fait pour mesurer (tant
            bien que mal) les intelligences normales. "
Quotient intellectuel;"<post n=""9"" ref=""#cmr-wiki-c001-a60"" when-iso=""2008-11-02T22:20"" who=""psn:cmr-wikiconflits-p4980"" xml:id=""cmr-wiki-c001-a69"">
<p>Merci d'être sérieux : le QI mesuré par Catherine Cox indique comme il se doit le
            rapport entre l'âge auquel un enfant ordinaire sait faire différentes choses de la vie
            et l'âge auquel l'intéressé les a effectivement faites. Avec ce mode de calcul (qui
            correspond bien à la <hi rend=""italic"">définition originelle</hi> du QI), si Goethe a su
            lire à deux ans au lieu de quatre, pas étonnant qu'il ait eu ses 200 ou 210 (et que dire
            de John Stuart Mill qui a commencé le ,grec ancien à 3 ans !). En revanche, le système
            actuel qui ne les rend opérationnels en lecture qu'à 6 ans au lieu de 4 pourait être
            légitimement accusé de fabriquer des QI de 66. Le dire n'est cependant peut-être pas <hi rend=""italic"">politiquement correct</hi>.</p>
<p>Maintenant, une question concernant les « Quelques avis » : on n'en voit qu'un.
            Qu'est-ce que les autres avaient de si terrible pour qu'on les escamote en douce ? Y
            avait-t-il trop d'information dans cet article ? Y en a-t-il trop dans cette
            encyclopédie ?</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/User:françois-dominique"">François-Dominique</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:françois-dominique"">d</ref>) 2
            novembre 2008 à 22:20 (CET)</signed></post>";"
Merci d'être sérieux : le QI mesuré par Catherine Cox indique comme il se doit le
            rapport entre l'âge auquel un enfant ordinaire sait faire différentes choses de la vie
            et l'âge auquel l'intéressé les a effectivement faites. Avec ce mode de calcul (qui
            correspond bien à la définition originelle du QI), si Goethe a su
            lire à deux ans au lieu de quatre, pas étonnant qu'il ait eu ses 200 ou 210 (et que dire
            de John Stuart Mill qui a commencé le ,grec ancien à 3 ans !). En revanche, le système
            actuel qui ne les rend opérationnels en lecture qu'à 6 ans au lieu de 4 pourait être
            légitimement accusé de fabriquer des QI de 66. Le dire n'est cependant peut-être pas politiquement correct.
Maintenant, une question concernant les « Quelques avis » : on n'en voit qu'un.
            Qu'est-ce que les autres avaient de si terrible pour qu'on les escamote en douce ? Y
            avait-t-il trop d'information dans cet article ? Y en a-t-il trop dans cette
            encyclopédie ?
François-Dominique (d) 2
            novembre 2008 à 22:20 (CET)"
Quotient intellectuel;"<post n=""0"" when-iso=""2009-01-09T16:32"" who=""psn:cmr-wikiconflits-ip01673"" xml:id=""cmr-wiki-c001-a70"">
<p>Je suis surpris que la référence ;</p>
<p>""l'enfant à l'intelligence troublée"" par Bernard Gibello (Païdos - Le centurion) ne
            soit pas donnée en référence bibliographique, d'autant plus que ce livre va être réédité
            par Dunod en mai prochain.</p>
<p>Je peux participer activement à la réécriture de l'article, qui en effet est
            déplorable, car rempl de présupposés idéologiques non discutés.</p>
<p>Comment fait-on ?</p>
<p>je n'ai pas compris</p>
<signed>Professeur Bernard Gibello GibelloB@aol.com</signed></post>";"
Je suis surpris que la référence ;
""l'enfant à l'intelligence troublée"" par Bernard Gibello (Païdos - Le centurion) ne
            soit pas donnée en référence bibliographique, d'autant plus que ce livre va être réédité
            par Dunod en mai prochain.
Je peux participer activement à la réécriture de l'article, qui en effet est
            déplorable, car rempl de présupposés idéologiques non discutés.
Comment fait-on ?
je n'ai pas compris
Professeur Bernard Gibello GibelloB@aol.com"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a70"" when-iso=""2009-03-14T06:33"" who=""psn:cmr-wikiconflits-ip00992"" xml:id=""cmr-wiki-c001-a71"">
<p>L'article était en effet très neutre il y a à peu près un ou deux ans, et apparemment
            quelques contributeurs ont depuis cru utile d'ajouter des remarques ""bien pensantes"" ou
            ""politiquement correctes"" sans se donner la peine de les sourcer. Le plus simple à faire
            en pareil cas est de cliquer sur l'onglet ""Modifier"" et de faire ceci : <hi rend=""italic"">:{{ref nec|ici, le passage qui n'est pas sourcé}}</hi>, ce qui écrira
            dans l'article : <code lang=""wikicode"">{{ref nec|ici, le passage qui n'est pas
              sourcé}}</code>. Si personne ne peut en donner de référence valable (c'est à dire
            autre chose qu'un blog personnel), le passage finira par disparaître jusqu'à ce que
            quelqu'un puisse en donner la source.</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Special:contributions/212.198.146.203"">212.198.146.203</ref> (<ref target=""https://fr.wikipedia.org/wiki/User_talk:212.198.146.203"">d</ref>) 14 mars 2009
            à 06:33 (CET)</signed></post>";"
L'article était en effet très neutre il y a à peu près un ou deux ans, et apparemment
            quelques contributeurs ont depuis cru utile d'ajouter des remarques ""bien pensantes"" ou
            ""politiquement correctes"" sans se donner la peine de les sourcer. Le plus simple à faire
            en pareil cas est de cliquer sur l'onglet ""Modifier"" et de faire ceci : :{{ref nec|ici, le passage qui n'est pas sourcé}}, ce qui écrira
            dans l'article : {{ref nec|ici, le passage qui n'est pas
              sourcé}}. Si personne ne peut en donner de référence valable (c'est à dire
            autre chose qu'un blog personnel), le passage finira par disparaître jusqu'à ce que
            quelqu'un puisse en donner la source.
212.198.146.203 (d) 14 mars 2009
            à 06:33 (CET)"
Quotient intellectuel;"<post n=""0"" when-iso=""2009-09-25T10:15"" who=""psn:cmr-wikiconflits-p268421"" xml:id=""cmr-wiki-c001-a72"">
<p>J'ai remarqué que de très nombreuses tentatives d'intégrer ces théories dans l'article
            quotient intellectuel ont été assez violemment effacées. Non que j'aime profondément ces
            théories (mes propres écrits parlent pour moi) mais je me demande si nous ne trouvons
            pas dans un dilemme moral. En effet, ces théories certes très critiquées ont une base
            scientifique et sont reconnues par une partie de la communauté scientifique mais comment
            les présenter de manière neutre et objective. On m'objectera que c'est inutile et que
            l'on peut continuer à effacer inlassablement, jour après jour. Cependant les disciples
            ne désarment pas et et même si leur manière de présenter laisse à désirer, ce ne sera
            que reculer, rien, résoudre. Que pensez-vous de cette situation?</p>
<p>--</p><signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:hcrepin"">Hcrepin</ref> (<ref target=""https://fr.wikipedia.org/wiki/Discussion_utilisateur:hcrepin"">d</ref>) 25
            septembre 2009 à 10:15 (CEST)</signed></post>";"
J'ai remarqué que de très nombreuses tentatives d'intégrer ces théories dans l'article
            quotient intellectuel ont été assez violemment effacées. Non que j'aime profondément ces
            théories (mes propres écrits parlent pour moi) mais je me demande si nous ne trouvons
            pas dans un dilemme moral. En effet, ces théories certes très critiquées ont une base
            scientifique et sont reconnues par une partie de la communauté scientifique mais comment
            les présenter de manière neutre et objective. On m'objectera que c'est inutile et que
            l'on peut continuer à effacer inlassablement, jour après jour. Cependant les disciples
            ne désarment pas et et même si leur manière de présenter laisse à désirer, ce ne sera
            que reculer, rien, résoudre. Que pensez-vous de cette situation?
--Hcrepin (d) 25
            septembre 2009 à 10:15 (CEST)"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a72"" when-iso=""2009-10-02T00:36"" who=""psn:cmr-wikiconflits-p677628"" xml:id=""cmr-wiki-c001-a73"">
<p>Que la patience résoudra tout, mieux vaut une vérité désagréable qu'un mensonge qui
            plaît. Cependant, la vérité est souvent aussi insaisissable que le reflet de la Lune
            dans l'eau. Si la situation l'exige, il sera toujours possible de verrouiller l'article
            le temps que la sagesse s'installe. --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:parthes"">Parthes</ref>
              (<ref target=""https://fr.wikipedia.org/wiki/Discussion_utilisateur:parthes"">d</ref>) 2
            octobre 2009 à 00:36 (CEST)</signed></post>";"
Que la patience résoudra tout, mieux vaut une vérité désagréable qu'un mensonge qui
            plaît. Cependant, la vérité est souvent aussi insaisissable que le reflet de la Lune
            dans l'eau. Si la situation l'exige, il sera toujours possible de verrouiller l'article
            le temps que la sagesse s'installe. --
Parthes
              (d) 2
            octobre 2009 à 00:36 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2009-10-04T00:09"" who=""psn:cmr-wikiconflits-p677628"" xml:id=""cmr-wiki-c001-a74"">
<p>--</p><signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:parthes"">Parthes</ref> (<ref target=""https://fr.wikipedia.org/wiki/Discussion_utilisateur:parthes"">d</ref>) 4
            octobre 2009 à 00:09 (CEST)</signed></post>";"
--Parthes (d) 4
            octobre 2009 à 00:09 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a73"" when-iso=""2009-10-05T07:55"" who=""psn:cmr-wikiconflits-p609299"" xml:id=""cmr-wiki-c001-a75"">
<p>Le lien entre race et rapidité, aussi vous voulez le publier ? contre l'égalitarisme de
            la pensée de Darwin ? etc ??? Les travaux de Rushton me semblent au plus haut point
            contestable. On dirait qu'il cherche ce qu'il veut trouver.... et le trouve. Les
            arrières pensées, et tout ce qu'il y a derrière cela (je ne suis pas un spécialiste,
            mais un lecteur) semble puant. Les phrases rajoutées sur lui sont tout aussi arbitraires
            que celles ôtés... et j'ai été personnellement choqué par les affirmations gratuites
            comme ""de gauche/de droite"" dès le début de l'article, que je pense tout à fait
            intempestives et parfaitement corrélées à la hauteur du QI du contributeur et aux
            théories raciales de Rushton. Voir <ref target=""http://www.charlesdarwinresearch.org/Darwins%20Really%20Dangerous%20Idea%201999.pdf"">http://www.charlesdarwinresearch.org/Darwins%20Really%20Dangerous%20Idea%201999.pdf</ref>
<ref target=""http://www.psychology.uwo.ca/faculty/rushton_pubs.htm"">http://www.psychology.uwo.ca/faculty/rushton_pubs.htm</ref></p>
<p>Si on veut parler de ces points : Recherche en cours, nature des oppositions au QI, on
            a intéret, me semble-t-il a le faire dans un paragraphe (ou deux) à part. Et surtout à
            bien sourcer, de façon multiples et à éviter les propos de comptoir.</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:jean_de_parthenay"">Jean de
              Parthenay</ref> (<ref target=""https://fr.wikipedia.org/wiki/Discussion_utilisateur:jean_de_parthenay"">d</ref>) 5 octobre 2009 à 07:55 (CEST)</signed></post>";"
Le lien entre race et rapidité, aussi vous voulez le publier ? contre l'égalitarisme de
            la pensée de Darwin ? etc ??? Les travaux de Rushton me semblent au plus haut point
            contestable. On dirait qu'il cherche ce qu'il veut trouver.... et le trouve. Les
            arrières pensées, et tout ce qu'il y a derrière cela (je ne suis pas un spécialiste,
            mais un lecteur) semble puant. Les phrases rajoutées sur lui sont tout aussi arbitraires
            que celles ôtés... et j'ai été personnellement choqué par les affirmations gratuites
            comme ""de gauche/de droite"" dès le début de l'article, que je pense tout à fait
            intempestives et parfaitement corrélées à la hauteur du QI du contributeur et aux
            théories raciales de Rushton. Voir http://www.charlesdarwinresearch.org/Darwins%20Really%20Dangerous%20Idea%201999.pdf
http://www.psychology.uwo.ca/faculty/rushton_pubs.htm
Si on veut parler de ces points : Recherche en cours, nature des oppositions au QI, on
            a intéret, me semble-t-il a le faire dans un paragraphe (ou deux) à part. Et surtout à
            bien sourcer, de façon multiples et à éviter les propos de comptoir.
Jean de
              Parthenay (d) 5 octobre 2009 à 07:55 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2009-09-30T19:45"" who=""psn:cmr-wikiconflits-p678119"" xml:id=""cmr-wiki-c001-a76"">
<p>J'en ai marre mais MARRE qu'on se permette de supprimmer les informations centrales que
            j'ajoute sur ce post, sous prétexte qu'ils ne corresponde pas à l'idéologie marxiste de
            wikipédia !!! Quand je lis une femme qui écrit plus haut ""je me suis permis d'efface un
            article (en l'occurrence le mien) je suis partiale ? Oui complètement et j'assume,
            complètement favorable à la cause humaine"" Pour qui se prend-t-elle ??? C'est ça la
            science ???</p>
<signed><code lang=""wikicode"">{{non signé|Dumoulinb}}</code>, le 30 septembre 2009 à
            19:45</signed></post>";"
J'en ai marre mais MARRE qu'on se permette de supprimmer les informations centrales que
            j'ajoute sur ce post, sous prétexte qu'ils ne corresponde pas à l'idéologie marxiste de
            wikipédia !!! Quand je lis une femme qui écrit plus haut ""je me suis permis d'efface un
            article (en l'occurrence le mien) je suis partiale ? Oui complètement et j'assume,
            complètement favorable à la cause humaine"" Pour qui se prend-t-elle ??? C'est ça la
            science ???
{{non signé|Dumoulinb}}, le 30 septembre 2009 à
            19:45"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a76"" when-iso=""2009-10-02T00:34"" who=""psn:cmr-wikiconflits-p677628"" xml:id=""cmr-wiki-c001-a77"">
<p>Il y a certes un problème de respect mais il me semble bilatéral, je conçois votre
            réaction pour des suppressions pures et simples surtout sur des motifs idéologiques mais
            admettez tout de même que vous manquez tout autant de tolérance. il est demandé de
            laisser vire tous les points de vue et de développer les sujets, surtout polémiques,
            dans des articles séparés. Vos réactions violentes et vos commentaires souvent puérils
            n'engagent pas à vous respecter. Essayez de suivre les règles et de respecter les
            autres. La version anglaise de cet article est beaucoup plus équilibrée sur ce point et
            nettement moins orientée que ce que vous cherchez à imposer. N'oubliez pas que Wikipédia
            est une communauté d'individus, le vivre ensemble commence par le respect et au vu de
            l'historique, je suppose que vous êtes l'anonyme qui a si souvent posté ce même contenu
            n'importe comment depuis des mois. j'observe une amélioration, il ne vous reste plus
            qu'à avoir une démarche scientifique et cela passera mieux. Peut-être n'avez-vous pas
            fait d'études, ce qui peut générer une certaine frustration mais vous ne devez pas vous
            en formaliser, ici tout le monde est à égalité, c'est la qualité de l'information et et
            sa présentation qui compte. Nous avons un devoir d'informer ET de neutralité de point de
            vue donc de laisser son contradicteur se loger contre notre propre opinion, dans le
            respect et la rigueur.</p>
<p>--</p><signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:parthes"">Parthes</ref> (<ref target=""https://fr.wikipedia.org/wiki/Discussion_utilisateur:parthes"">d</ref>) 2
            octobre 2009 à 00:34 (CEST)</signed></post>";"
Il y a certes un problème de respect mais il me semble bilatéral, je conçois votre
            réaction pour des suppressions pures et simples surtout sur des motifs idéologiques mais
            admettez tout de même que vous manquez tout autant de tolérance. il est demandé de
            laisser vire tous les points de vue et de développer les sujets, surtout polémiques,
            dans des articles séparés. Vos réactions violentes et vos commentaires souvent puérils
            n'engagent pas à vous respecter. Essayez de suivre les règles et de respecter les
            autres. La version anglaise de cet article est beaucoup plus équilibrée sur ce point et
            nettement moins orientée que ce que vous cherchez à imposer. N'oubliez pas que Wikipédia
            est une communauté d'individus, le vivre ensemble commence par le respect et au vu de
            l'historique, je suppose que vous êtes l'anonyme qui a si souvent posté ce même contenu
            n'importe comment depuis des mois. j'observe une amélioration, il ne vous reste plus
            qu'à avoir une démarche scientifique et cela passera mieux. Peut-être n'avez-vous pas
            fait d'études, ce qui peut générer une certaine frustration mais vous ne devez pas vous
            en formaliser, ici tout le monde est à égalité, c'est la qualité de l'information et et
            sa présentation qui compte. Nous avons un devoir d'informer ET de neutralité de point de
            vue donc de laisser son contradicteur se loger contre notre propre opinion, dans le
            respect et la rigueur.
--Parthes (d) 2
            octobre 2009 à 00:34 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2009-10-02T18:50"" who=""psn:cmr-wikiconflits-p678119"" xml:id=""cmr-wiki-c001-a78"">
<p>Mais je vous emmerde espèce de grosse vache stalinienne. Je suis biologiste, allez donc
            terminer vos primaires arriéré prétentieux que vous êtes.</p></post>";"
Mais je vous emmerde espèce de grosse vache stalinienne. Je suis biologiste, allez donc
            terminer vos primaires arriéré prétentieux que vous êtes."
